"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year"
"Porphyrio poliocephalus",NA,12,0,12,2020,2025
"Pyrrhula aurantiaca",NA,12,0,12,2018,2024
"Sturnus vulgaris","Sturnus vulgaris Linnaeus, 1758",12,12,0,2020,2023
"Troglodytes troglodytes",NA,12,0,12,2011,2024
"Turdus boulboul","Turdus boulboul (Latham, 1790)",12,12,0,2021,2024
"Anthus roseatus","Anthus roseatus Blyth, 1847",11,11,0,2020,2024
"Copsychus saularis",NA,11,0,11,2018,2024
"Delichon dasypus","Delichon dasypus (Bonaparte, 1850)",11,11,0,2019,2024
"Enicurus maculatus",NA,11,0,11,2017,2025
"Gyps himalayensis",NA,11,0,11,2013,2025
"Muscicapa ruficauda","Ficedula ruficauda (Swainson, 1838)",11,11,0,2021,2024
"Pernis ptilorhynchus","Pernis ptilorhynchus (Temminck, 1821)",11,11,0,2019,2024
"Phoenicurus erythrogastrus",NA,11,0,11,2016,2025
"Phylloscopus affinis","Phylloscopus affinis (Tickell, 1833)",11,11,0,2021,2024
"Saxicoloides fulicatus","Copsychus fulicatus (Linnaeus, 1766)",11,11,0,2020,2024
"Sylvia curruca","Curruca curruca (Linnaeus, 1758)",11,11,0,2019,2024
"Anas acuta","Anas acuta Linnaeus, 1758",10,10,0,2018,2023
"Anthus roseatus",NA,10,0,10,2020,2024
"Anthus spinoletta",NA,10,0,10,2018,2025
"Anthus trivialis","Anthus trivialis (Linnaeus, 1758)",10,10,0,2021,2024
"Certhia hodgsoni","Certhia hodgsoni W.E.Brooks, 1871",10,10,0,2020,2024
"Chlidonias hybrida",NA,10,0,10,2014,2025
"Columba rupestris","Columba rupestris Pallas, 1811",10,10,0,2019,2024
"Corvus frugilegus","Corvus frugilegus Linnaeus, 1758",10,10,0,2020,2024
"Cuculus canorus",NA,10,0,10,2014,2024
"Dendrocoptes auriceps",NA,10,0,10,2020,2024
"Falco peregrinus",NA,10,0,10,2020,2024
"Fulica atra",NA,10,0,10,2021,2025
"Glaucidium brodiei","Taenioptynx brodiei (Burton, 1836)",10,10,0,2021,2024
