"species","scientificName","priority_score","priority_level","total_records","n_grid_cells","rarity_score","range_score","trend_score"
"Euodice malabarica","Euodice malabarica (Linnaeus, 1758)",82,"Critical Priority",1,1,100,100,40
"Falco cherrug",NA,82,"Critical Priority",1,1,100,100,40
"Falco chicquera","Falco chicquera Daudin, 1800",82,"Critical Priority",1,1,100,100,40
"Ficedula albicilla",NA,82,"Critical Priority",1,1,100,100,40
"Ficedula parva",NA,82,"Critical Priority",1,2,100,100,40
"Galerida cristata","Galerida cristata (Linnaeus, 1758)",82,"Critical Priority",1,2,100,100,40
"Galerida cristata",NA,82,"Critical Priority",1,2,100,100,40
"Gallinago solitaria","Gallinago solitaria Hodgson, 1831",82,"Critical Priority",1,2,100,100,40
"Gallinago solitaria",NA,82,"Critical Priority",1,2,100,100,40
"Gallus gallus",NA,82,"Critical Priority",1,1,100,100,40
"Garrulax albogularis","Pterorhinus albogularis (Gould, 1836)",82,"Critical Priority",1,1,100,100,40
"Gracupica contra",NA,82,"Critical Priority",1,1,100,100,40
"Grus monacha","Grus monacha Temminck, 1835",82,"Critical Priority",1,1,100,100,40
"Grus nigricollis",NA,82,"Critical Priority",1,1,100,100,40
"Haliaeetus albicilla",NA,82,"Critical Priority",1,1,100,100,40
"Iduna caligata","Iduna caligata (Lichtenstein, 1823)",82,"Critical Priority",1,1,100,100,40
"Iduna rama","Iduna rama (Sykes, 1832)",82,"Critical Priority",1,1,100,100,40
"Lanius collurio","Lanius collurio Linnaeus, 1758",82,"Critical Priority",1,1,100,100,40
"Lanius cristatus",NA,82,"Critical Priority",1,1,100,100,40
"Lanius isabellinus",NA,82,"Critical Priority",1,1,100,100,40
"Lanius minor","Lanius minor Gmelin, 1788",82,"Critical Priority",1,1,100,100,40
"Lanius phoenicuroides",NA,82,"Critical Priority",1,1,100,100,40
"Lerwa lerwa","Lerwa lerwa (Hodgson, 1833)",82,"Critical Priority",1,1,100,100,40
"Lerwa lerwa",NA,82,"Critical Priority",1,1,100,100,40
"Limosa limosa",NA,82,"Critical Priority",1,1,100,100,40
"Merops orientalis","Merops orientalis Latham, 1801",82,"Critical Priority",1,1,100,100,40
"Microcarbo niger","Microcarbo niger (Vieillot, 1817)",82,"Critical Priority",1,2,100,100,40
"Microcarbo niger",NA,82,"Critical Priority",1,2,100,100,40
"Monticola saxatilis",NA,82,"Critical Priority",1,2,100,100,40
"Muscicapa striata","Muscicapa striata (Pallas, 1764)",82,"Critical Priority",1,1,100,100,40
"Mycerobas affinis",NA,82,"Critical Priority",1,1,100,100,40
"Mycerobas carnipes","Mycerobas carnipes (Hodgson, 1836)",82,"Critical Priority",1,1,100,100,40
"Oenanthe pleschanka","Oenanthe pleschanka (Lepechin, 1770)",82,"Critical Priority",1,1,100,100,40
"Otus bakkamoena","Otus bakkamoena Pennant, 1769",82,"Critical Priority",1,1,100,100,40
"Otus scops","Otus scops (Linnaeus, 1758)",82,"Critical Priority",1,1,100,100,40
"Pastor roseus","Pastor roseus (Linnaeus, 1758)",82,"Critical Priority",1,2,100,100,40
"Pastor roseus",NA,82,"Critical Priority",1,2,100,100,40
"Pericrocotus cinnamomeus","Pericrocotus cinnamomeus (Linnaeus, 1766)",82,"Critical Priority",1,1,100,100,40
"Phoenicurus phoenicurus",NA,82,"Critical Priority",1,1,100,100,40
"Phylloscopus whistleri",NA,82,"Critical Priority",1,1,100,100,40
"Picus chlorolophus","Picus chlorolophus Vieillot, 1818",82,"Critical Priority",1,1,100,100,40
"Picus xanthopygaeus",NA,82,"Critical Priority",1,1,100,100,40
"Rhipidura aureola","Rhipidura aureola Lesson, 1831",82,"Critical Priority",1,1,100,100,40
"Rhodopechys sanguineus","Rhodopechys sanguineus sanguineus (Gould, 1838)",82,"Critical Priority",1,1,100,100,40
"Rhodopechys sanguineus",NA,82,"Critical Priority",1,1,100,100,40
"Spatula querquedula","Spatula querquedula (Linnaeus, 1758)",82,"Critical Priority",1,2,100,100,40
"Spatula querquedula",NA,82,"Critical Priority",1,2,100,100,40
"Stachyridopsis pyrrhops","Cyanoderma pyrrhops (Blyth, 1844)",82,"Critical Priority",1,1,100,100,40
"Sterna aurantia","Sterna aurantia J.E.Gray, 1831",82,"Critical Priority",1,2,100,100,40
"Sterna aurantia",NA,82,"Critical Priority",1,2,100,100,40
"Strix leptogrammica",NA,82,"Critical Priority",1,1,100,100,40
"Taccocua leschenaultii","Taccocua leschenaultii Lesson, 1830",82,"Critical Priority",1,1,100,100,40
"Tadorna tadorna",NA,82,"Critical Priority",1,1,100,100,40
"Taenioptynx brodiei",NA,82,"Critical Priority",1,1,100,100,40
"Tephrodornis pondicerianus","Tephrodornis pondicerianus (Gmelin, 1789)",82,"Critical Priority",1,1,100,100,40
"Tragopan melanocephalus",NA,82,"Critical Priority",1,6,100,60,80
"Tringa nebularia","Tringa nebularia (Gunnerus, 1767)",82,"Critical Priority",1,1,100,100,40
"Trochalopteron erythrocephalum","Trochalopteron erythrocephalum (Vigors, 1832)",82,"Critical Priority",1,1,100,100,40
"Turdus philomelos",NA,82,"Critical Priority",1,1,100,100,40
"Turdus ruficollis","Turdus ruficollis Pallas, 1776",82,"Critical Priority",1,1,100,100,40
