"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year","rarity_score","n_grid_cells","lat_range","lon_range","range_score","trend","trend_score","priority_score","priority_level"
"Carpodacus rubicilla","Carpodacus rubicilla (Güldenstädt, 1775)",7,7,0,2018,2023,80,11,2.449046,3.76903,40,1,40,56,"Medium Priority"
"Cinnyris asiaticus",NA,7,0,7,2021,2024,80,7,0.761503000000005,1.11357206850001,60,31,20,56,"Medium Priority"
"Glaucidium cuculoides","Glaucidium cuculoides (Vigors, 1831)",7,7,0,2021,2024,80,7,0.593208887899998,1.7452654571,60,8,20,56,"Medium Priority"
"Lanius vittatus","Lanius vittatus Valenciennes, 1826",7,7,0,2021,2024,80,7,2.145790733,3.70280978539999,60,9,20,56,"Medium Priority"
"Leptopoecile sophiae","Leptopoecile sophiae Severtzov, 1873",7,7,0,2019,2025,80,6,1.8954150327,3.1240040255,60,9,20,56,"Medium Priority"
"Phoenicurus erythronotus","Phoenicurus erythronotus (Eversmann, 1841)",7,7,0,2020,2025,80,9,2.368942,2.47264418869999,60,9,20,56,"Medium Priority"
"Ptyonoprogne rupestris","Ptyonoprogne rupestris (Scopoli, 1769)",7,7,0,2020,2025,80,7,1.824872,2.51738641510001,60,9,20,56,"Medium Priority"
"Spatula clypeata","Spatula clypeata (Linnaeus, 1758)",7,7,0,2019,2023,80,9,1.7359818865,4.47484036020001,60,13,20,56,"Medium Priority"
"Tetraogallus himalayensis","Tetraogallus himalayensis G.R.Gray, 1843",7,7,0,2022,2023,80,9,2.3934414968,4.76694297669999,60,7,20,56,"Medium Priority"
"Vanellus indicus","Vanellus indicus (Boddaert, 1783)",7,7,0,2020,2024,80,9,0.257618678299998,2.85122976870001,60,8,20,56,"Medium Priority"
"Aquila nipalensis","Aquila nipalensis Hodgson, 1833",6,6,0,2020,2024,80,7,0.511809999999997,1.3643138803,60,8,20,56,"Medium Priority"
"Buteo refectus",NA,6,0,6,2024,2024,80,7,1.24439275029999,2.2255478413,60,10,20,56,"Medium Priority"
"Buteo rufinus","Buteo rufinus (Cretzschmar, 1829)",6,6,0,2021,2023,80,9,0.970298598199996,2.7102652084,60,15,20,56,"Medium Priority"
"Callacanthis burtoni",NA,6,0,6,2018,2025,80,6,1.7528751565,2.8423667326,60,16,20,56,"Medium Priority"
"Carpodacus rubicilla",NA,6,0,6,2013,2023,80,11,2.449046,3.76903,40,1,40,56,"Medium Priority"
"Columba leuconota","Columba leuconota Vigors, 1831",6,6,0,2022,2023,80,9,1.59562040940001,2.83607000000001,60,6,20,56,"Medium Priority"
"Larvivora brunnea",NA,6,0,6,2021,2025,80,6,1.20866050879999,2.1643452894,60,6,20,56,"Medium Priority"
"Prunella atrogularis","Prunella atrogularis (Brandt, 1843)",6,6,0,2020,2024,80,8,1.74690259819999,2.4239685,60,11,20,56,"Medium Priority"
"Turdus boulboul",NA,6,0,6,2022,2025,80,6,0.588520000000003,1.95643427959999,60,18,20,56,"Medium Priority"
"Lophura leucomelanos","Lophura leucomelanos (Latham, 1790)",14,14,0,2022,2024,60,5,0.660356399999998,1.02901881109999,80,17,20,54,"Medium Priority"
"Pteruthius xanthochlorus","Pteruthius xanthochlorus J.E.Gray & G.R.Gray, 1847",13,13,0,2020,2024,60,5,0.6363983946,0.517869999999988,80,14,20,54,"Medium Priority"
"Pucrasia macrolopha","Pucrasia macrolopha (R.Lesson, 1829)",13,13,0,2019,2024,60,5,0.641080000000002,1.10817,80,9,20,54,"Medium Priority"
"Hirundo smithii","Hirundo smithii Leach & K.D.Koenig, 1818",12,12,0,2021,2024,60,5,0.702739999999999,1.06603,80,12,20,54,"Medium Priority"
"Muscicapa ruficauda","Ficedula ruficauda (Swainson, 1838)",11,11,0,2021,2024,60,5,0.918559999999999,1.1686,80,11,20,54,"Medium Priority"
"Pavo cristatus","Pavo cristatus Linnaeus, 1758",23,23,0,2020,2020,40,1,0,0,100,23,20,52,"Medium Priority"
"Acridotheres fuscus",NA,5,0,5,2020,2025,100,22,1.4483,1.57343,20,69,20,52,"Medium Priority"
"Columba livia","Columba livia var. domestica J.F.Gmelin, 1789",5,5,0,2024,2024,100,41,1.5218619,5.34932435339999,20,213,20,52,"Medium Priority"
"Corvus corax",NA,5,0,5,2015,2025,100,27,2.3774277939,4.16112,20,52,20,52,"Medium Priority"
"Falco tinnunculus",NA,5,0,5,2021,2025,100,29,2.212584,5.0566361426,20,39,20,52,"Medium Priority"
"Saxicola caprata",NA,5,0,5,2018,2024,100,23,1.2886771859,1.48099000000001,20,37,20,52,"Medium Priority"
"Sturnia pagodarum",NA,5,0,5,2021,2024,100,22,2.268253,1.82015411889999,20,72,20,52,"Medium Priority"
"Apus affinis",NA,4,0,4,2020,2024,100,24,1.358646,1.482935,20,310,20,52,"Medium Priority"
"Spilopelia chinensis",NA,4,0,4,2018,2025,100,22,0.943581000000002,1.31828,20,73,20,52,"Medium Priority"
"Periparus ater","Periparus ater melanolophus (Vigors, 1831)",2,2,0,2024,2025,100,33,1.98636699999999,4.3181189722,20,123,20,52,"Medium Priority"
"Motacilla citreola","Motacilla citreola calcarata Hodgson, 1836",1,1,0,2022,2022,100,38,2.8413228252,5.3823827539,20,61,20,52,"Medium Priority"
"Passer montanus","Passer montanus dilutus Richmond, 1896",1,1,0,2022,2022,100,22,2.72225,1.71398000000001,20,294,20,52,"Medium Priority"
"Tragopan melanocephalus","Tragopan melanocephalus (J.E.Gray, 1829)",53,53,0,2018,2019,20,6,0.163600026499999,0.142232443799998,60,-52,80,50,"Medium Priority"
"Anthus roseatus",NA,10,0,10,2020,2024,80,14,1.4754124782,5.29899293000001,40,21,20,50,"Medium Priority"
"Anthus spinoletta",NA,10,0,10,2018,2025,80,11,2.4152958982,2.5312881,40,26,20,50,"Medium Priority"
"Anthus trivialis","Anthus trivialis (Linnaeus, 1758)",10,10,0,2021,2024,80,11,2.4098625982,2.4549026944,40,11,20,50,"Medium Priority"
"Columba rupestris","Columba rupestris Pallas, 1811",10,10,0,2019,2024,80,18,2.9496807678,5.30889000000001,40,8,20,50,"Medium Priority"
"Cuculus canorus",NA,10,0,10,2014,2024,80,12,1.2706746528,2.24915700000001,40,21,20,50,"Medium Priority"
"Dendrocoptes auriceps",NA,10,0,10,2020,2024,80,14,0.807382099999998,2.54001000000001,40,40,20,50,"Medium Priority"
"Fulica atra",NA,10,0,10,2021,2025,80,12,2.2647895982,5.141422284,40,18,20,50,"Medium Priority"
"Tringa ochropus",NA,10,0,10,2019,2024,80,12,2.2603384443,2.5526959635,40,25,20,50,"Medium Priority"
"Lonchura punctulata",NA,9,0,9,2018,2024,80,14,1.15994659819999,2.50371269440001,40,38,20,50,"Medium Priority"
"Luscinia svecica","Luscinia svecica (Linnaeus, 1758)",9,9,0,2018,2025,80,13,2.4350190404,4.62707896249999,40,16,20,50,"Medium Priority"
"Parus monticolus",NA,9,0,9,2019,2025,80,19,1.25156699999999,2.67245,40,82,20,50,"Medium Priority"
"Prunella strophiata",NA,9,0,9,2017,2025,80,15,1.69873,4.5961657933,40,30,20,50,"Medium Priority"
"Psittacula himalayana",NA,9,0,9,2016,2024,80,19,0.715905079700001,4.23692802289999,40,39,20,50,"Medium Priority"
"Sitta leucopsis",NA,9,0,9,2021,2025,80,13,1.75728489999999,2.8389396,40,63,20,50,"Medium Priority"
"Aquila chrysaetos",NA,8,0,8,2013,2025,80,16,2.4213795434,4.403935828,40,14,20,50,"Medium Priority"
"Eremophila alpestris",NA,8,0,8,2016,2025,80,13,2.37486163720001,4.4064683333,40,13,20,50,"Medium Priority"
"Nucifraga multipunctata","Nucifraga multipunctata Gould, 1849",8,8,0,2019,2024,80,11,2.1611817958,2.3058525,40,13,20,50,"Medium Priority"
"Turdus atrogularis",NA,8,0,8,2020,2024,80,14,2.2117830341,2.7620239,40,20,20,50,"Medium Priority"
"Gallinula chloropus","Gallinula chloropus (Linnaeus, 1758)",7,7,0,2019,2023,80,13,2.2642482,2.4186710636,40,27,20,50,"Medium Priority"
"Hieraaetus pennatus",NA,7,0,7,2020,2024,80,13,2.0846760495,3.07000020000001,40,23,20,50,"Medium Priority"
"Nucifraga multipunctata",NA,7,0,7,2022,2025,80,11,2.1611817958,2.3058525,40,13,20,50,"Medium Priority"
"Psittacula krameri",NA,7,0,7,2018,2024,80,14,2.2565697191,2.6195897436,40,162,20,50,"Medium Priority"
"Sitta cashmirensis",NA,7,0,7,2020,2025,80,11,1.5203972,2.43198249999999,40,36,20,50,"Medium Priority"
"Tichodroma muraria",NA,7,0,7,2018,2024,80,17,2.8993042338,3.96323452599999,40,21,20,50,"Medium Priority"
"Actitis hypoleucos",NA,6,0,6,2015,2025,80,15,2.2568659641,3.2000295818,40,23,20,50,"Medium Priority"
"Aegithalos concinnus",NA,6,0,6,2018,2025,80,14,1.2358049,3.0250096,40,43,20,50,"Medium Priority"
"Ficedula superciliaris",NA,6,0,6,2016,2024,80,13,1.24788964,2.5010440219,40,27,20,50,"Medium Priority"
"Phylloscopus chloronotus",NA,6,0,6,2021,2025,80,18,1.4750812751,2.53841,40,55,20,50,"Medium Priority"
"Phylloscopus collybita",NA,6,0,6,2019,2025,80,15,2.4036377398,2.4468428494,40,17,20,50,"Medium Priority"
"Prunella fulvescens",NA,6,0,6,2013,2025,80,14,2.80325606429999,5.30249000000001,40,15,20,50,"Medium Priority"
"Streptopelia decaocto",NA,6,0,6,2020,2024,80,14,0.917824000000003,2.19800370610001,40,19,20,50,"Medium Priority"
"Motacilla alba","Motacilla alba personata Gould, 1861",3,3,0,2019,2022,100,71,2.310993,5.411490054,10,281,20,49,"Medium Priority"
"Parus cinereus","Parus cinereus caschmirensis Hartert, 1905",1,1,0,2019,2019,100,70,2.5276784443,5.27750083260001,10,247,20,49,"Medium Priority"
"Garrulus lanceolatus","Garrulus lanceolatus Vigors, 1831",18,18,0,2019,2024,60,10,1.20616,1.7899125,60,18,20,48,"Medium Priority"
"Orthotomus sutorius","Orthotomus sutorius (Pennant, 1769)",17,17,0,2020,2024,60,6,0.365845694899996,0.402092670399995,60,18,20,48,"Medium Priority"
"Phylloscopus subviridis","Phylloscopus subviridis (W.E.Brooks, 1872)",17,17,0,2020,2024,60,9,1.5637200495,1.62074,60,18,20,48,"Medium Priority"
"Ceryle rudis",NA,15,0,15,2005,2025,60,6,0.6541228269,2.7723608494,60,14,20,48,"Medium Priority"
"Niltava sundara","Niltava sundara Hodgson, 1837",15,15,0,2019,2025,60,6,0.661824000000003,1.5310150743,60,15,20,48,"Medium Priority"
"Luscinia pectoralis","Calliope pectoralis Gould, 1837",14,14,0,2019,2024,60,8,1.29751899999999,3.90246099999999,60,12,20,48,"Medium Priority"
"Rhipidura albicollis","Rhipidura albicollis (Vieillot, 1818)",14,14,0,2019,2024,60,6,0.703786000000001,1.0145,60,11,20,48,"Medium Priority"
"Psilopogon asiaticus","Psilopogon asiaticus (Latham, 1790)",13,13,0,2019,2024,60,8,0.546697280499998,0.329615113000003,60,9,20,48,"Medium Priority"
"Anas crecca","Anas crecca Linnaeus, 1758",12,12,0,2018,2023,60,8,1.7460950083,2.20596995509999,60,12,20,48,"Medium Priority"
"Callacanthis burtoni","Callacanthis burtoni (Gould, 1838)",12,12,0,2021,2025,60,6,1.7528751565,2.8423667326,60,16,20,48,"Medium Priority"
"Gypaetus barbatus",NA,12,0,12,2013,2023,60,18,2.8433711983,4.4059306425,40,2,40,48,"Medium Priority"
"Ibidorhyncha struthersii",NA,12,0,12,2021,2025,60,7,1.2380399984,3.8187764043,60,15,20,48,"Medium Priority"
"Porphyrio poliocephalus",NA,12,0,12,2020,2025,60,6,0.242481986600005,0.188353708299999,60,12,20,48,"Medium Priority"
"Pyrrhula aurantiaca",NA,12,0,12,2018,2024,60,8,0.606880000000004,2.08288232000001,60,29,20,48,"Medium Priority"
"Turdus boulboul","Turdus boulboul (Latham, 1790)",12,12,0,2021,2024,60,6,0.588520000000003,1.95643427959999,60,18,20,48,"Medium Priority"
"Delichon dasypus","Delichon dasypus (Bonaparte, 1850)",11,11,0,2019,2024,60,6,2.204941,1.53803000000001,60,9,20,48,"Medium Priority"
"Pernis ptilorhynchus","Pernis ptilorhynchus (Temminck, 1821)",11,11,0,2019,2024,60,9,2.2680491138,2.55528451410001,60,11,20,48,"Medium Priority"
"Phylloscopus affinis","Phylloscopus affinis (Tickell, 1833)",11,11,0,2021,2024,60,8,2.3100527634,5.12808566380001,60,8,20,48,"Medium Priority"
"Saxicoloides fulicatus","Copsychus fulicatus (Linnaeus, 1766)",11,11,0,2020,2024,60,6,0.88015,1.35628,60,11,20,48,"Medium Priority"
"Sylvia curruca","Curruca curruca (Linnaeus, 1758)",11,11,0,2019,2024,60,10,2.492234,4.16292,60,9,20,48,"Medium Priority"
"Ficedula tricolor","Ficedula tricolor (Hodgson, 1845)",26,26,0,2019,2024,40,5,0.823761000000005,1.39911412789999,80,27,20,46,"Medium Priority"
"Passer montanus",NA,10,0,10,2019,2025,80,22,2.72225,1.71398000000001,20,294,20,44,"Medium Priority"
"Pericrocotus ethologus",NA,10,0,10,2021,2024,80,33,1.75782259819999,2.6693280194,20,77,20,44,"Medium Priority"
"Dicrurus leucophaeus",NA,9,0,9,2021,2024,80,34,1.4997352139,2.5199570855,20,75,20,44,"Medium Priority"
"Dicrurus macrocercus",NA,9,0,9,2018,2025,80,41,1.485699,2.77615400000001,20,289,20,44,"Medium Priority"
"Eumyias thalassinus",NA,8,0,8,2016,2025,80,23,1.181674,2.0215440767,20,51,20,44,"Medium Priority"
"Phylloscopus occipitalis",NA,7,0,7,2023,2025,80,28,1.76340999999999,3.09933460000001,20,83,20,44,"Medium Priority"
"Phylloscopus humei",NA,6,0,6,2017,2025,80,37,2.40414287390001,5.1942106426,20,196,20,44,"Medium Priority"
"Spilopelia senegalensis",NA,6,0,6,2021,2024,80,25,2.256743,2.280459237,20,55,20,44,"Medium Priority"
"Prinia crinigera","Prinia crinigera Hodgson, 1836",20,20,0,2019,2024,60,14,1.155805,1.21037,40,16,20,42,"Medium Priority"
"Sturnus vulgaris",NA,19,0,19,2015,2025,60,16,1.7485102977,4.10922666670001,40,27,20,42,"Medium Priority"
"Hieraaetus pennatus","Hieraaetus pennatus (Gmelin, 1788)",18,18,0,2019,2024,60,13,2.0846760495,3.07000020000001,40,23,20,42,"Medium Priority"
"Tichodroma muraria","Tichodroma muraria (Linnaeus, 1766)",18,18,0,2020,2024,60,17,2.8993042338,3.96323452599999,40,21,20,42,"Medium Priority"
"Falco subbuteo","Falco subbuteo Linnaeus, 1758",17,17,0,2019,2025,60,12,2.3188745719,3.95676111109999,40,14,20,42,"Medium Priority"
"Phylloscopus griseolus","Phylloscopus griseolus Blyth, 1847",17,17,0,2021,2024,60,20,2.1173952895,5.0816844597,40,27,20,42,"Medium Priority"
"Picus squamatus",NA,17,0,17,2018,2025,60,18,1.9013969382,3.12745600000001,40,39,20,42,"Medium Priority"
"Prunella fulvescens","Prunella fulvescens (Severtzov, 1873)",17,17,0,2018,2025,60,14,2.80325606429999,5.30249000000001,40,15,20,42,"Medium Priority"
"Tringa ochropus","Tringa ochropus Linnaeus, 1758",17,17,0,2020,2024,60,12,2.2603384443,2.5526959635,40,25,20,42,"Medium Priority"
"Aquila chrysaetos","Aquila chrysaetos (Linnaeus, 1758)",16,16,0,2018,2024,60,16,2.4213795434,4.403935828,40,14,20,42,"Medium Priority"
"Enicurus scouleri","Enicurus scouleri Vigors, 1832",16,16,0,2019,2024,60,18,1.28823089999999,3.09933460000001,40,22,20,42,"Medium Priority"
"Enicurus scouleri",NA,16,0,16,2016,2024,60,18,1.28823089999999,3.09933460000001,40,22,20,42,"Medium Priority"
"Phylloscopus sindianus","Phylloscopus sindianus W.E.Brooks, 1880",16,16,0,2020,2025,60,20,2.921975,5.22804416529999,40,25,20,42,"Medium Priority"
"Turdus atrogularis","Turdus atrogularis Jarocki, 1819",16,16,0,2018,2024,60,14,2.2117830341,2.7620239,40,20,20,42,"Medium Priority"
"Cuculus canorus","Cuculus canorus Linnaeus, 1758",15,15,0,2021,2024,60,12,1.2706746528,2.24915700000001,40,21,20,42,"Medium Priority"
"Phylloscopus collybita","Phylloscopus collybita (Vieillot, 1817)",15,15,0,2019,2024,60,15,2.4036377398,2.4468428494,40,17,20,42,"Medium Priority"
"Streptopelia decaocto","Streptopelia decaocto (Frivaldszky, 1838)",15,15,0,2018,2024,60,14,0.917824000000003,2.19800370610001,40,19,20,42,"Medium Priority"
"Phylloscopus sindianus",NA,14,0,14,2018,2025,60,20,2.921975,5.22804416529999,40,25,20,42,"Medium Priority"
"Zosterops palpebrosus",NA,14,0,14,2018,2025,60,20,0.821102000000003,2.12669895000001,40,104,20,42,"Medium Priority"
"Coloeus monedula","Coloeus monedula (Linnaeus, 1758)",13,13,0,2020,2024,60,13,0.915742017500001,2.1891796,40,24,20,42,"Medium Priority"
"Eremophila alpestris","Eremophila alpestris (Linnaeus, 1758)",13,13,0,2019,2024,60,13,2.37486163720001,4.4064683333,40,13,20,42,"Medium Priority"
"Luscinia svecica",NA,13,0,13,2017,2025,60,13,2.4350190404,4.62707896249999,40,16,20,42,"Medium Priority"
"Anas platyrhynchos","Anas platyrhynchos Linnaeus, 1758",12,12,0,2018,2025,60,19,2.4178613455,4.8444652231,40,28,20,42,"Medium Priority"
"Columba rupestris",NA,12,0,12,2011,2025,60,18,2.9496807678,5.30889000000001,40,8,20,42,"Medium Priority"
"Emberiza stewarti",NA,12,0,12,2020,2025,60,20,2.8585624005,2.66327736460001,40,55,20,42,"Medium Priority"
"Fulica atra","Fulica atra Linnaeus, 1758",12,12,0,2018,2023,60,12,2.2647895982,5.141422284,40,18,20,42,"Medium Priority"
"Phoenicurus erythrogastrus","Phoenicurus erythrogastrus (Guldenstadt, 1775)",12,12,0,2018,2025,60,14,2.7195772017,5.24541620000001,40,13,20,42,"Medium Priority"
"Phylloscopus griseolus",NA,12,0,12,2019,2025,60,20,2.1173952895,5.0816844597,40,27,20,42,"Medium Priority"
"Sturnus vulgaris","Sturnus vulgaris Linnaeus, 1758",12,12,0,2020,2023,60,16,1.7485102977,4.10922666670001,40,27,20,42,"Medium Priority"
"Anthus roseatus","Anthus roseatus Blyth, 1847",11,11,0,2020,2024,60,14,1.4754124782,5.29899293000001,40,21,20,42,"Medium Priority"
"Copsychus saularis",NA,11,0,11,2018,2024,60,20,1.193127,2.4477263957,40,102,20,42,"Medium Priority"
"Enicurus maculatus",NA,11,0,11,2017,2025,60,16,1.0911592,2.5200331059,40,20,20,42,"Medium Priority"
"Phoenicurus erythrogastrus",NA,11,0,11,2016,2025,60,14,2.7195772017,5.24541620000001,40,13,20,42,"Medium Priority"
"Nycticorax nycticorax","Nycticorax nycticorax (Linnaeus, 1758)",50,50,0,2020,2023,40,7,0.760676669299997,2.53756642580001,60,55,20,40,"Medium Priority"
"Tachymarptis melba","Tachymarptis melba (Linnaeus, 1758)",27,27,0,2021,2024,40,10,1.1202613611,1.16065833329999,60,29,20,40,"Medium Priority"
"Francolinus francolinus","Francolinus francolinus (Linnaeus, 1766)",26,26,0,2020,2024,40,7,0.702621416599996,0.985860000000002,60,25,20,40,"Medium Priority"
"Regulus regulus","Regulus regulus (Linnaeus, 1758)",26,26,0,2021,2025,40,10,1.75728119999999,2.22094779999999,60,30,20,40,"Medium Priority"
"Carpodacus rodochroa","Carpodacus rodochroa (Vigors, 1831)",25,25,0,2021,2025,40,6,0.593978887899993,2.53845890000001,60,33,20,40,"Medium Priority"
"Hodgsonius phoenicuroides","Luscinia phaenicuroides (J.E.Gray & G.R.Gray, 1847)",25,25,0,2020,2024,40,8,1.131226,1.27933999999999,60,25,20,40,"Medium Priority"
"Pyrrhula aurantiaca","Pyrrhula aurantiaca Gould, 1858",25,25,0,2019,2024,40,8,0.606880000000004,2.08288232000001,60,29,20,40,"Medium Priority"
"Tachybaptus ruficollis",NA,25,0,25,2010,2025,40,8,1.4561385982,2.339626,60,13,20,40,"Medium Priority"
"Cinnyris asiaticus","Cinnyris asiaticus (Latham, 1790)",24,24,0,2020,2024,40,7,0.761503000000005,1.11357206850001,60,31,20,40,"Medium Priority"
"Culicicapa ceylonensis","Culicicapa ceylonensis (Swainson, 1820)",23,23,0,2020,2024,40,8,1.40765,1.12515,60,26,20,40,"Medium Priority"
"Phylloscopus magnirostris","Phylloscopus magnirostris Blyth, 1843",21,21,0,2020,2024,40,10,1.40765,1.220805,60,21,20,40,"Medium Priority"
"Accipiter nisus",NA,20,0,20,2019,2025,60,30,2.41830827250001,5.2999652516,20,46,20,36,"Low Priority"
"Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax (Linnaeus, 1758)",20,20,0,2018,2024,60,26,2.8229468924,5.39295868170001,20,19,20,36,"Low Priority"
"Serinus pusillus",NA,20,0,20,2013,2025,60,25,2.3372299641,4.8326453,20,21,20,36,"Low Priority"
"Streptopelia orientalis",NA,20,0,20,2006,2025,60,35,2.4956844783,5.38826522310001,20,51,20,36,"Low Priority"
"Chloris spinoides",NA,19,0,19,2017,2025,60,38,1.6719896,2.75550990000001,20,101,20,36,"Low Priority"
"Halcyon smyrnensis",NA,19,0,19,1981,2025,60,23,1.059715,2.8372468222,20,89,20,36,"Low Priority"
"Hypsipetes leucocephalus",NA,18,0,18,2010,2024,60,26,1.1232189,3.09933460000001,20,86,20,36,"Low Priority"
"Hirundo rustica",NA,17,0,17,2010,2024,60,48,1.4900862286,2.84725682219999,20,539,20,36,"Low Priority"
"Periparus ater",NA,17,0,17,2020,2025,60,33,1.98636699999999,4.3181189722,20,123,20,36,"Low Priority"
"Pyrrhocorax pyrrhocorax",NA,17,0,17,2012,2025,60,26,2.8229468924,5.39295868170001,20,19,20,36,"Low Priority"
"Oriolus kundoo",NA,16,0,16,2019,2025,60,30,2.5247425982,5.35872805370001,20,34,20,36,"Low Priority"
"Saxicola ferreus",NA,16,0,16,2020,2025,60,28,1.4993942288,2.60047653710001,20,104,20,36,"Low Priority"
"Trochalopteron variegatum",NA,16,0,16,2021,2024,60,22,1.1897809,3.0830422139,20,82,20,36,"Low Priority"
"Monticola solitarius",NA,15,0,15,2019,2025,60,29,2.518242286,5.26141350050001,20,42,20,36,"Low Priority"
"Periparus rufonuchalis",NA,15,0,15,2017,2024,60,31,1.75728489999999,2.9761996,20,104,20,36,"Low Priority"
"Troglodytes troglodytes","Troglodytes troglodytes (Linnaeus, 1758)",15,15,0,2019,2024,60,21,1.9768649,4.0221565162,20,21,20,36,"Low Priority"
"Certhia himalayana",NA,14,0,14,2020,2025,60,28,1.8901995982,3.09933460000001,20,74,20,36,"Low Priority"
"Turdus unicolor",NA,14,0,14,2014,2024,60,22,2.310945663,3.06282042480001,20,44,20,36,"Low Priority"
"Alectoris chukar","Alectoris chukar (J.E.Gray, 1830)",13,13,0,2018,2022,60,25,2.5627060035,4.4752979064,20,15,20,36,"Low Priority"
"Dendrocopos himalayensis",NA,13,0,13,2011,2025,60,25,1.7642282873,2.9800905908,20,67,20,36,"Low Priority"
"Leucosticte nemoricola",NA,13,0,13,2016,2025,60,28,2.5567219,4.73084691170001,20,39,20,36,"Low Priority"
"Phylloscopus xanthoschistos",NA,12,0,12,2018,2024,60,31,1.713004,2.92926,20,107,20,36,"Low Priority"
"Troglodytes troglodytes",NA,12,0,12,2011,2024,60,21,1.9768649,4.0221565162,20,21,20,36,"Low Priority"
"Gyps himalayensis",NA,11,0,11,2013,2025,60,24,2.8156823207,4.7282230818,20,24,20,36,"Low Priority"
"Gallinula chloropus",NA,50,0,50,2002,2025,40,13,2.2642482,2.4186710636,40,27,20,34,"Low Priority"
"Phylloscopus chloronotus","Phylloscopus chloronotus (J.E.Gray & G.R.Gray, 1847)",49,49,0,2020,2025,40,18,1.4750812751,2.53841,40,55,20,34,"Low Priority"
"Emberiza stewarti","Emberiza stewarti (Blyth, 1854)",43,43,0,2020,2024,40,20,2.8585624005,2.66327736460001,40,55,20,34,"Low Priority"
"Anas platyrhynchos",NA,42,0,42,2010,2025,40,19,2.4178613455,4.8444652231,40,28,20,34,"Low Priority"
"Aegithalos concinnus","Aegithalos concinnus (Gould, 1855)",41,41,0,2019,2025,40,14,1.2358049,3.0250096,40,43,20,34,"Low Priority"
"Ardeola grayii",NA,41,0,41,2010,2025,40,20,2.26413,2.8586897193,40,108,20,34,"Low Priority"
"Psittacula himalayana","Psittacula himalayana (Lesson, 1831)",40,40,0,2019,2024,40,19,0.715905079700001,4.23692802289999,40,39,20,34,"Low Priority"
"Tarsiger rufilatus","Tarsiger rufilatus (Hodgson, 1845)",40,40,0,2020,2025,40,13,2.198542,2.7688661464,40,43,20,34,"Low Priority"
"Alcedo atthis",NA,39,0,39,1981,2025,40,18,1.4080172,2.7538319514,40,104,20,34,"Low Priority"
"Mycerobas icterioides","Mycerobas icterioides (Vigors, 1830)",37,37,0,2019,2024,40,11,1.23004,2.74925578129999,40,37,20,34,"Low Priority"
"Apus apus","Apus apus (Linnaeus, 1758)",35,35,0,2020,2024,40,18,2.1412,4.62081400000001,40,37,20,34,"Low Priority"
"Lonchura punctulata","Lonchura punctulata (Linnaeus, 1758)",35,35,0,2019,2024,40,14,1.15994659819999,2.50371269440001,40,38,20,34,"Low Priority"
"Dendrocoptes auriceps","Dendrocoptes auriceps (Vigors, 1831)",34,34,0,2019,2024,40,14,0.807382099999998,2.54001000000001,40,40,20,34,"Low Priority"
"Sitta cashmirensis","Sitta cashmirensis W.E.Brooks, 1871",33,33,0,2019,2024,40,11,1.5203972,2.43198249999999,40,36,20,34,"Low Priority"
"Egretta garzetta",NA,30,0,30,2010,2025,40,13,0.783379000000004,2.70608999999999,40,65,20,34,"Low Priority"
"Monticola cinclorhynchus","Monticola cinclorhynchus (Vigors, 1832)",30,30,0,2019,2024,40,12,1.484907,1.43505500000001,40,24,20,34,"Low Priority"
"Muscicapa sibirica","Muscicapa sibirica Gmelin, 1789",30,30,0,2019,2024,40,14,2.1064600495,1.6174680753,40,28,20,34,"Low Priority"
"Phoenicurus coeruleocephala","Phoenicurus coeruleocephala (Vigors, 1831)",30,30,0,2020,2025,40,17,1.731364,1.7506110245,40,35,20,34,"Low Priority"
"Picus squamatus","Picus squamatus Vigors, 1831",30,30,0,2019,2025,40,18,1.9013969382,3.12745600000001,40,39,20,34,"Low Priority"
"Turdus rubrocanus","Turdus rubrocanus J.E.Gray & G.R.Gray, 1847",29,29,0,2020,2025,40,11,1.18452,2.5617099685,40,32,20,34,"Low Priority"
"Coloeus monedula",NA,27,0,27,2012,2025,40,13,0.915742017500001,2.1891796,40,24,20,34,"Low Priority"
"Ficedula superciliaris","Ficedula superciliaris (Jerdon, 1840)",27,27,0,2019,2024,40,13,1.24788964,2.5010440219,40,27,20,34,"Low Priority"
"Phylloscopus trochiloides","Phylloscopus trochiloides (Sundevall, 1837)",27,27,0,2019,2024,40,20,1.7624392925,3.622550257,40,28,20,34,"Low Priority"
"Prunella strophiata","Prunella strophiata (Blyth, 1843)",27,27,0,2021,2025,40,15,1.69873,4.5961657933,40,30,20,34,"Low Priority"
"Oenanthe fusca","Oenanthe fusca (Blyth, 1851)",26,26,0,2020,2024,40,13,0.844758000000006,1.426861414,40,28,20,34,"Low Priority"
"Pandion haliaetus","Pandion haliaetus (Linnaeus, 1758)",26,26,0,2019,2021,40,25,2.10031,1.71015,20,4,40,34,"Low Priority"
"Actitis hypoleucos","Actitis hypoleucos (Linnaeus, 1758)",23,23,0,2020,2024,40,15,2.2568659641,3.2000295818,40,23,20,34,"Low Priority"
"Anthus spinoletta","Anthus spinoletta (Linnaeus, 1758)",22,22,0,2018,2023,40,11,2.4152958982,2.5312881,40,26,20,34,"Low Priority"
