"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year"
"Tarsiger chrysaeus",NA,2,0,2,2022,2025
"Tringa erythropus",NA,2,0,2,2021,2021
"Tringa glareola","Tringa glareola Linnaeus, 1758",2,2,0,2023,2024
"Tringa totanus","Tringa totanus (Linnaeus, 1758)",2,2,0,2018,2021
"Turdus maximus","Turdus maximus (Seebohm, 1881)",2,2,0,2023,2024
"Tyto javanica","Tyto javanica (J.F.Gmelin, 1788)",2,2,0,2020,2023
"Urocissa erythroryncha",NA,2,0,2,2023,2025
"Xenus cinereus","Xenus cinereus (Güldenstädt, 1775)",2,2,0,2023,2023
"Aegithalos niveogularis",NA,3,0,3,2022,2025
"Alauda arvensis",NA,3,0,3,2021,2023
"Alauda gulgula",NA,3,0,3,2024,2024
"Anser anser",NA,3,0,3,2015,2024
"Anthus trivialis",NA,3,0,3,2018,2023
"Aquila heliaca",NA,3,0,3,2024,2024
"Ardea coromanda",NA,3,0,3,2021,2025
"Argya caudata",NA,3,0,3,2021,2025
"Athene brama","Athene brama (Temminck, 1821)",3,3,0,2021,2022
"Aythya ferina",NA,3,0,3,2012,2024
"Aythya fuligula",NA,3,0,3,2012,2025
"Bubo bubo","Bubo bubo (Linnaeus, 1758)",3,3,0,2020,2024
"Butastur teesa",NA,3,0,3,2019,2024
"Calidris minuta",NA,3,0,3,2021,2024
"Ceryle rudis","Ceryle rudis (Linnaeus, 1758)",3,3,0,2023,2024
"Circus aeruginosus","Circus aeruginosus (Linnaeus, 1758)",3,3,0,2021,2023
"Clamator jacobinus","Clamator jacobinus (Boddaert, 1783)",3,3,0,2021,2023
"Coracias benghalensis","Coracias benghalensis (Linnaeus, 1758)",3,3,0,2020,2022
"Coracias garrulus",NA,3,0,3,2020,2024
"Corvus corone",NA,3,0,3,2023,2025
"Culicicapa ceylonensis",NA,3,0,3,2021,2024
"Delichon urbicum","Delichon urbicum (Linnaeus, 1758)",3,3,0,2022,2023
"Dendrocitta vagabunda",NA,3,0,3,2018,2024
"Emberiza fucata",NA,3,0,3,2016,2022
"Emberiza lathami",NA,3,0,3,2018,2021
"Emberiza leucocephalos","Emberiza leucocephalos S.G.Gmelin, 1771",3,3,0,2021,2025
"Ficedula subrubra",NA,3,0,3,2018,2025
"Ficedula tricolor",NA,3,0,3,2024,2024
"Francolinus francolinus",NA,3,0,3,2018,2024
"Fringilla montifringilla","Fringilla montifringilla Linnaeus, 1758",3,3,0,2021,2025
"Gallinago gallinago","Gallinago gallinago (Linnaeus, 1758)",3,3,0,2021,2025
"Glaucidium cuculoides",NA,3,0,3,2018,2024
"Horornis fortipes",NA,3,0,3,2022,2024
"Ibidorhyncha struthersii","Ibidorhyncha struthersii Vigors, 1832",3,3,0,2022,2023
"Luscinia phaenicuroides",NA,3,0,3,2022,2023
"Mergus merganser","Mergus merganser Linnaeus, 1758",3,3,0,2020,2023
"Montifringilla adamsi",NA,3,0,3,2013,2025
"Motacilla alba","Motacilla alba personata Gould, 1861",3,3,0,2019,2022
"Netta rufina","Netta rufina (Pallas, 1773)",3,3,0,2020,2022
"Oenanthe deserti","Oenanthe deserti (Temminck, 1825)",3,3,0,2022,2024
"Oenanthe deserti",NA,3,0,3,2023,2025
"Oenanthe isabellina",NA,3,0,3,2021,2021
"Oenanthe oenanthe","Oenanthe oenanthe (Linnaeus, 1758)",3,3,0,2023,2024
"Orthotomus sutorius",NA,3,0,3,2018,2024
"Otus lettia",NA,3,0,3,2024,2024
"Otus spilocephalus","Otus spilocephalus (Blyth, 1846)",3,3,0,2024,2024
"Petrochelidon fluvicola",NA,3,0,3,2022,2025
"Petronia petronia","Petronia petronia (Linnaeus, 1766)",3,3,0,2021,2023
"Phalacrocorax carbo","Phalacrocorax carbo (Linnaeus, 1758)",3,3,0,2019,2023
"Pomatorhinus erythrogenys","Erythrogenys erythrogenys (Vigors, 1831)",3,3,0,2024,2024
